               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029565,            0.026754,            0.010631,             0.72083,             0.52418,             0.54141,             0.39398,            0.027811,            0.052034,            0.013935,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029863,            0.026567,            0.010488,             0.81834,             0.48494,             0.54153,             0.40052,            0.027868,            0.052509,            0.013573,            0.008218,            0.008218,            0.008218
                  38,            0.029875,            0.026907,            0.010535,             0.70594,             0.53677,             0.53435,             0.38109,            0.028043,            0.052677,            0.014176,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029646,            0.026844,            0.010516,             0.53696,             0.51736,             0.50976,             0.37922,            0.027349,            0.051357,            0.014458,            0.008119,            0.008119,            0.008119
                  40,            0.028784,            0.026438,            0.010267,             0.67711,              0.4704,             0.52346,               0.387,            0.027418,            0.053187,            0.013977,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029508,            0.026292,            0.010348,              0.6563,             0.46202,             0.52094,              0.3869,            0.027392,            0.052179,            0.013489,             0.00802,             0.00802,             0.00802
                  42,            0.029435,            0.026735,            0.010298,             0.86653,             0.47103,             0.53512,             0.39625,            0.027318,            0.052634,            0.013129,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028903,            0.025824,            0.010007,             0.66598,             0.55609,             0.56297,             0.40486,            0.027112,            0.050998,             0.01312,            0.007921,            0.007921,            0.007921
                  44,             0.02857,             0.02569,           0.0098863,             0.68954,              0.4859,              0.5188,             0.38692,            0.027074,            0.051774,            0.014565,           0.0078715,           0.0078715,           0.0078715
                  45,            0.028773,            0.025987,            0.010069,             0.74009,             0.49055,             0.55409,             0.40757,            0.027135,            0.052192,            0.013498,            0.007822,            0.007822,            0.007822
                  46,            0.028631,            0.025789,           0.0097011,             0.62989,             0.55286,             0.56557,              0.4098,            0.026855,            0.050764,            0.013773,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027955,            0.025161,            0.009893,              0.7472,             0.48322,             0.51197,             0.37401,            0.027588,            0.052337,            0.016058,            0.007723,            0.007723,            0.007723
                  48,            0.027964,            0.025507,           0.0097982,              0.7391,             0.48659,             0.54486,             0.40485,            0.026904,            0.051411,            0.013775,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028261,            0.025217,            0.009763,              0.6794,             0.49527,             0.55575,             0.40452,            0.026841,            0.051852,            0.014251,            0.007624,            0.007624,            0.007624
                  50,            0.028081,            0.025349,           0.0096967,             0.69202,             0.52609,             0.55147,             0.40728,            0.026637,            0.051434,            0.014314,           0.0075745,           0.0075745,           0.0075745
                  51,            0.028036,            0.025442,           0.0096475,              0.6866,             0.48449,             0.53626,             0.39301,            0.026586,            0.050842,            0.015127,            0.007525,            0.007525,            0.007525
                  52,            0.027954,            0.025043,           0.0095831,             0.71453,             0.49775,             0.53422,             0.39123,            0.026817,            0.051598,            0.014732,           0.0074755,           0.0074755,           0.0074755
                  53,            0.027514,            0.025176,           0.0091769,             0.70364,              0.4761,             0.54595,             0.40067,            0.026737,            0.052136,            0.014179,            0.007426,            0.007426,            0.007426
                  54,            0.027494,            0.025446,           0.0093112,             0.68434,             0.52291,             0.55373,               0.406,             0.02651,            0.051232,             0.01369,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027595,            0.024793,           0.0094269,             0.64524,             0.52755,             0.53319,             0.38812,            0.026859,            0.052893,            0.015006,            0.007327,            0.007327,            0.007327
                  56,            0.027829,            0.025734,           0.0093512,              0.7326,             0.48979,             0.53258,             0.39144,            0.026648,            0.051889,            0.014835,           0.0072775,           0.0072775,           0.0072775
                  57,            0.027405,            0.025286,            0.009107,             0.76875,             0.52715,             0.55367,             0.40203,            0.026743,            0.051817,            0.013697,            0.007228,            0.007228,            0.007228
                  58,            0.027575,            0.025312,           0.0091151,             0.71175,             0.49709,             0.55131,             0.40395,            0.026577,            0.052471,            0.013918,           0.0071785,           0.0071785,           0.0071785
                  59,            0.027121,            0.024833,           0.0091817,              0.7108,             0.49417,              0.5429,              0.4012,            0.026453,            0.052469,             0.01364,            0.007129,            0.007129,            0.007129
                  60,            0.027366,            0.024853,           0.0090209,             0.76378,             0.48408,             0.54656,             0.40475,            0.026357,            0.051313,            0.013922,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027129,            0.024595,           0.0089082,             0.67263,             0.49242,             0.54338,             0.40621,            0.026461,             0.05172,            0.013659,             0.00703,             0.00703,             0.00703
                  62,            0.027186,            0.024975,           0.0089373,             0.68513,             0.49377,             0.53875,              0.4051,            0.026221,            0.050859,            0.013541,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026862,            0.024294,            0.008897,             0.71079,               0.496,             0.55219,             0.40556,            0.026194,            0.051617,            0.013501,            0.006931,            0.006931,            0.006931
                  64,            0.027071,            0.024697,           0.0087028,             0.72102,             0.48381,             0.54931,             0.40398,            0.026318,            0.051626,             0.01339,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027009,            0.024945,           0.0087857,             0.64815,             0.52679,             0.56337,              0.4149,            0.026023,            0.050207,            0.013214,            0.006832,            0.006832,            0.006832
                  66,            0.026627,            0.024234,           0.0089199,             0.71014,             0.48604,             0.55805,             0.41026,            0.026239,            0.051166,            0.013383,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026531,            0.024759,           0.0087965,             0.64386,              0.4948,             0.55147,             0.40942,            0.026001,            0.050782,            0.013253,            0.006733,            0.006733,            0.006733
                  68,            0.026686,            0.024489,           0.0087926,             0.59573,             0.51628,              0.5479,             0.40291,            0.026024,            0.051059,            0.014212,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026429,            0.024324,           0.0087001,              0.6424,             0.50821,             0.53833,             0.39881,            0.025992,            0.050007,            0.015019,            0.006634,            0.006634,            0.006634
                  70,            0.026432,            0.024458,           0.0083974,              0.7275,             0.49836,             0.55774,             0.41283,            0.026022,            0.050925,            0.013394,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026018,            0.023695,           0.0087275,             0.67024,             0.52913,             0.55527,             0.41202,            0.026188,            0.051895,            0.013682,            0.006535,            0.006535,            0.006535
                  72,            0.026147,            0.023676,           0.0086074,             0.79075,             0.51784,             0.56587,             0.41418,            0.026042,            0.052204,            0.013235,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026142,            0.023919,           0.0085112,             0.64981,             0.53319,             0.56164,             0.41926,            0.026092,            0.052168,            0.013096,            0.006436,            0.006436,            0.006436
                  74,            0.025886,            0.023601,           0.0082047,             0.58125,             0.53592,             0.55677,             0.41443,            0.025986,            0.050799,            0.013514,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025857,            0.024079,           0.0082751,             0.63098,             0.50263,             0.54791,             0.40602,             0.02576,            0.051803,            0.014075,            0.006337,            0.006337,            0.006337
                  76,              0.0258,            0.023735,           0.0081223,             0.65879,             0.48173,             0.54006,             0.40148,            0.025915,            0.052375,            0.013444,           0.0062875,           0.0062875,           0.0062875
                  77,            0.025642,            0.023305,           0.0081783,             0.56496,             0.51955,              0.5416,             0.40354,             0.02576,            0.051799,            0.014263,            0.006238,            0.006238,            0.006238
                  78,             0.02564,            0.023398,           0.0081935,             0.68862,             0.52043,              0.5601,             0.40903,             0.02608,            0.052835,            0.013594,           0.0061885,           0.0061885,           0.0061885
                  79,            0.025631,             0.02368,           0.0081393,             0.61299,             0.55912,             0.56256,             0.41086,            0.025792,             0.05038,            0.012892,            0.006139,            0.006139,            0.006139
                  80,            0.025514,            0.023289,           0.0080865,             0.64209,             0.49269,             0.55282,             0.41297,             0.02574,            0.052094,            0.013275,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02558,            0.023464,           0.0080695,             0.55276,             0.52683,             0.55706,             0.41283,            0.025698,            0.051505,            0.013965,             0.00604,             0.00604,             0.00604
                  82,            0.025772,            0.023345,           0.0080582,             0.75302,             0.51488,             0.55529,              0.4134,            0.025789,            0.051683,             0.01424,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02517,            0.022946,           0.0080927,             0.64721,             0.48474,             0.53654,              0.4044,            0.025709,            0.051245,            0.014176,            0.005941,            0.005941,            0.005941
                  84,            0.025221,            0.022929,           0.0081642,             0.68949,             0.50194,             0.57156,             0.41959,            0.025548,            0.049963,            0.013736,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025398,            0.023327,           0.0080061,             0.60138,             0.50278,             0.54928,             0.40996,            0.025513,            0.052003,            0.014098,            0.005842,            0.005842,            0.005842
                  86,            0.025372,            0.023044,           0.0080206,             0.66292,             0.50528,             0.53173,              0.3931,            0.025548,            0.050983,            0.015497,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025252,            0.023408,           0.0079767,             0.75305,             0.49171,             0.53977,             0.39906,            0.025584,            0.051381,            0.015012,            0.005743,            0.005743,            0.005743
                  88,             0.02495,            0.023233,           0.0080079,             0.80479,             0.49893,             0.56661,             0.42082,            0.025398,            0.050578,            0.013461,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025287,            0.022963,            0.007857,             0.78781,             0.47368,             0.53194,             0.40352,            0.025605,            0.052919,             0.01435,            0.005644,            0.005644,            0.005644
                  90,            0.025201,             0.02302,            0.007895,             0.68067,             0.50093,             0.53776,             0.40626,            0.025601,            0.052453,            0.013882,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024537,            0.022987,            0.007659,             0.59023,             0.46136,               0.521,             0.39598,            0.025334,            0.050444,            0.014386,            0.005545,            0.005545,            0.005545
                  92,            0.024931,            0.023064,           0.0078298,             0.62958,             0.48195,             0.54914,             0.40865,            0.025265,             0.05073,            0.014583,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025027,            0.023004,           0.0078997,             0.82086,             0.49842,             0.53884,             0.40715,             0.02528,             0.05113,             0.01381,            0.005446,            0.005446,            0.005446
                  94,            0.024653,            0.022718,           0.0078951,             0.75729,             0.48262,              0.5252,             0.40305,            0.025326,            0.051203,            0.014061,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024308,            0.022274,           0.0076297,              0.6706,             0.52689,             0.55292,             0.42134,            0.025165,            0.050514,             0.01321,            0.005347,            0.005347,            0.005347
                  96,            0.024634,            0.023036,           0.0075986,             0.62157,             0.54319,             0.54875,              0.4119,            0.025306,            0.051234,            0.013823,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024775,            0.022964,           0.0075285,             0.56024,             0.53717,             0.53751,             0.40249,            0.025415,            0.052155,            0.013965,            0.005248,            0.005248,            0.005248
                  98,            0.024562,            0.022522,           0.0076255,             0.53414,             0.54029,             0.54407,              0.4025,            0.025382,            0.052253,            0.014209,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024581,            0.022415,           0.0076118,             0.60657,              0.5258,             0.55711,              0.4152,            0.025291,            0.051016,            0.013634,            0.005149,            0.005149,            0.005149
                 100,            0.024127,            0.022409,           0.0075711,             0.62399,             0.52401,             0.56299,             0.41476,            0.025388,            0.051951,            0.013631,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024249,            0.022327,           0.0076068,             0.63217,             0.50642,             0.55035,             0.41244,            0.025418,            0.051863,            0.013421,             0.00505,             0.00505,             0.00505
                 102,            0.024382,            0.022603,           0.0074953,             0.55839,             0.51274,             0.54247,             0.40757,            0.025272,             0.05144,            0.013645,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024095,            0.021951,            0.007415,             0.70618,             0.48888,             0.54167,             0.40639,            0.025281,            0.051832,            0.013582,            0.004951,            0.004951,            0.004951
                 104,             0.02402,            0.022165,           0.0073006,             0.62318,             0.49257,             0.55688,             0.41792,            0.025245,            0.051709,            0.013532,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024163,             0.02258,           0.0073942,             0.54591,             0.56692,                0.55,             0.42038,            0.025249,            0.051666,             0.01423,            0.004852,            0.004852,            0.004852
                 106,            0.023954,            0.022498,           0.0074079,             0.53724,             0.54976,             0.54225,             0.41067,              0.0252,            0.051477,            0.014703,           0.0048025,           0.0048025,           0.0048025
                 107,             0.02371,            0.022106,           0.0072621,             0.72914,             0.50149,             0.55237,             0.41743,            0.025212,            0.051403,            0.013716,            0.004753,            0.004753,            0.004753
                 108,            0.023878,            0.021911,            0.007388,             0.57863,             0.56171,             0.56512,             0.42209,            0.025218,            0.051472,            0.013672,           0.0047035,           0.0047035,           0.0047035
                 109,            0.023653,            0.022516,           0.0072286,             0.66367,             0.49057,             0.54989,             0.41123,            0.025199,            0.051959,            0.014135,            0.004654,            0.004654,            0.004654
                 110,            0.023758,            0.022036,           0.0073663,             0.62303,             0.53995,             0.55725,             0.42205,            0.025145,            0.052154,             0.01368,           0.0046045,           0.0046045,           0.0046045
                 111,            0.023727,            0.021833,           0.0072254,             0.59493,             0.53909,             0.54295,             0.41027,            0.025134,            0.052059,            0.014615,            0.004555,            0.004555,            0.004555
                 112,            0.023744,            0.022007,           0.0073779,             0.59147,              0.5077,             0.55057,             0.41439,            0.025216,            0.051793,            0.014299,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023368,             0.02183,            0.007057,             0.52233,             0.56574,             0.55002,             0.41679,            0.025139,            0.051805,            0.013753,            0.004456,            0.004456,            0.004456
                 114,            0.023275,            0.021748,           0.0071545,             0.65937,             0.50098,               0.556,              0.4198,            0.025115,            0.051424,            0.013757,           0.0044065,           0.0044065,           0.0044065
                 115,            0.023689,            0.021675,           0.0071961,             0.68976,             0.47822,              0.5458,             0.41411,              0.0251,            0.051626,            0.013773,            0.004357,            0.004357,            0.004357
                 116,            0.023376,            0.021734,           0.0070792,             0.67285,             0.49815,             0.54132,             0.41008,            0.025088,            0.051516,             0.01432,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023487,            0.021749,           0.0072016,             0.61969,             0.52042,             0.54927,             0.41083,            0.025042,             0.05226,            0.013838,            0.004258,            0.004258,            0.004258
